v1,State,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,numberofvotes,_merge,votePercent,electvotes,roundedElec
1996,Arkansas,AR,5,71,42,US President,"Forbes, Ralph",america first,FALSE,932,884262,20171015,NA,6,matched (3),.0010539863,.0063239178,0
1980,Arkansas,AR,5,71,42,US President,"Reagan, Ronald",republican,FALSE,403164,837582,20171015,NA,6,matched (3),.48134273,2.8880563,3
1984,Arkansas,AR,5,71,42,US President,"Larouche, Lyndon, Jr.",independent,FALSE,1890,884406,20171015,NA,6,matched (3),.0021370274,.012822164,0
2004,Arkansas,AR,5,71,42,US President,"Nader, Ralph",populist,FALSE,6171,1054945,20171015,NA,6,matched (3),.0058495943,.035097566,0
1996,Arkansas,AR,5,71,42,US President,"Dole, Robert",republican,FALSE,325416,884262,20171015,NA,6,matched (3),.36800858,2.2080514,2
1984,Arkansas,AR,5,71,42,US President,"Richards, Bob",populist,FALSE,1461,884406,20171015,NA,6,matched (3),.0016519562,.0099117374,0
1980,Arkansas,AR,5,71,42,US President,"Commoner, Barry",citizens,FALSE,2345,837582,20171015,NA,6,matched (3),.0027997259,.016798355,0
1996,Arkansas,AR,5,71,42,US President,"Clinton, Bill",democrat,FALSE,475171,884262,20171015,NA,6,matched (3),.53736448,3.2241869,3
2016,Arkansas,AR,5,71,42,US President,"McMullin, Evan",better for america,FALSE,13255,1130635,20171015,NA,6,matched (3),.011723501,.070341006,0
1996,Arkansas,AR,5,71,42,US President,"Nader, Ralph",green,FALSE,3649,884262,20171015,NA,6,matched (3),.0041266051,.024759632,0
2016,Arkansas,AR,5,71,42,US President,"Stein, Jill",green,FALSE,9473,1130635,20171015,NA,6,matched (3),.0083784778,.050270867,0
2000,Arkansas,AR,5,71,42,US President,"Gore, Al",democrat,FALSE,422768,921781,20171015,NA,6,matched (3),.45864257,2.7518554,3
2016,Arkansas,AR,5,71,42,US President,"Clinton, Hillary",democrat,FALSE,380494,1130635,20171015,NA,6,matched (3),.33653125,2.0191875,2
1984,Arkansas,AR,5,71,42,US President,"Bergland, David",libertarian,FALSE,2221,884406,20171015,NA,6,matched (3),.0025112901,.015067741,0
1984,Arkansas,AR,5,71,42,US President,"Johnson, Sonia",citizens,FALSE,960,884406,20171015,NA,6,matched (3),.0010854743,.0065128459,0
1984,Arkansas,AR,5,71,42,US President,"Hall, Gus",communist party use,FALSE,1499,884406,20171015,NA,6,matched (3),.0016949229,.010169538,0
2012,Arkansas,AR,5,71,42,US President,"Stein, Jill",green,FALSE,9305,1069468,20171015,NA,6,matched (3),.0087005878,.052203529,0
1996,Arkansas,AR,5,71,42,US President,"Masters, Isabell",looking back party,FALSE,749,884262,20171015,NA,6,matched (3),.00084703404,.005082204,0
2000,Arkansas,AR,5,71,42,US President,"Browne, Harry",libertarian,FALSE,2781,921781,20171015,NA,6,matched (3),.0030169855,.018101912,0
1984,Arkansas,AR,5,71,42,US President,"Reagan, Ronald",republican,FALSE,534774,884406,20171015,NA,6,matched (3),.60467023,3.6280212,4
